109263;7790375260941;;;;BAGOVIT A  CREMA X 100;GRS;3;;560398;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
109264;7790375245054;;;;BAGOVIT A  CREMA X 200;GRS;3;;769559;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11086;8411061838778;;;;HERRERA 212 VIP ROSE F/W;EDP X 125 ML;3;;12716713;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11090;3614271992901;;;;ARMANI ACQUA DI GIO;ABSOLU P/H EDP X 75 ML;3;;9248246;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11091;3614271992932;;;;ARMANI ACQUA DI GIO;ABSOLU P/H EDP X 125 ML;3;;11647717;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11096;3614272407435;;;;ARMANI CODE ABSOLU P/H;EDP X 60 ML;3;;10208034;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11097;3614272407442;;;;ARMANI CODE ABSOLU P/H;EDP X 110 ML;3;;12333280;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11098;3605520321115;3360375010972;;;ARMANI CODE F/W EDP X 75;ML;3;;11647717;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11099;3605522040281;;;;ARMANI YOU STRONGER P/H;EDT X 50 ML;3;;7671451;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11100;3605522040588;;;;ARMANI YOU STRONGER P/H;EDT X 100 ML;3;;9591027;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11101;3614272225701;;;;ARMANI YOU INTENSELY P/H;EDT X 50 ML;3;;8357014;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11102;3614272225718;;;;ARMANI YOU INTENSELY P/H;EDT X 100 ML;3;;10825041;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11105;3605522041486;;;;ARMANI YOU BECAUSE F/W;EDP X 100 ML;3;;11099266;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11117;3614228220897;;;;HUGO BOSS BOTTLED;INFINITE P/H EDP X 100 ML;3;;7714474;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11119;8005610255668;;;;HUGO BOSS BOTTLED TONIC;P/H EDT X 100 ML;3;;7362002;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11124;3614227693920;;;;BURBERRY HER F/W EDP X;50 ML;3;;9137661;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11125;3614227693876;;;;BURBERRY HER F/W EDP X;100 ML;3;;11438703;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11138;7640111494324;;;;CABONITE F/W EDT X 30 ML;VAP;3;;3626255;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11143;3614271774989;;;;CACHAREL YES IAM F/W EDP;X 30 ML;3;;4541234;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11145;3614271775047;;;;CACHAREL YES IAM F/W EDP;X 75 ML;3;;6811850;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11146;3614272365100;;;;CACHAREL YES IAM PINK;F/W EDP X 30 ML;3;;3842582;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
11148;8411061926093;;;;HERRERA BAD BOY P/H EDT;X 50 ML;3;;7247126;2100;1;N;0;A;;0;0;2071;DROGUERIA BARRACAS
